,FLEET,AC CODE,"FLT#
(OB)","FLT#
(IB)",ORIG,DEST,"DEST
(ret)","ORIG
(ret)","DEP OB
(HHMM)","ARR OB
(HHMM)","BLOCK OB
(HHMM)","DEP IB
(HHMM)","ARR IB
(HHMM)","BLOCK IB
(HHMM)",OPR,,,,,,,
Domestic,320/D,319S,1288,1289,AUS,EGE,EGE,AUS,1730,1900,0230,0800,1119,0219,NAC,,,,,,,
Domestic,320/D,319S,3872,3873,AUS,EGE,EGE,AUS,1030,1200,0230,1240,1559,0219,NAC,,,,,,,
Domestic,320/D,319S,414,309,AUS,EYW,EYW,AUS,1005,1345,0240,1425,1627,0302,NAC,,,,,,,
Domestic,320/D,321K,1555,1524,AUS,FLL,FLL,AUS,0650,1035,0245,1120,1329,0309,NAC,,,,,,,
Domestic,320/D,321K,1296,1297,AUS,FLL,FLL,AUS,1315,1700,0245,1745,1954,0309,NAC,,,,,,,
Domestic,320/D,321R,3174,3175,AUS,FLL,FLL,AUS,1735,2120,0245,2205,0014,0309,NAC,,,,,,,
Domestic,320/D,321R,3288,3289,AUS,FLL,FLL,AUS,2010,2355,0245,0600,0809,0309,NAC,,,,,,,
Domestic,320/D,H205,1841,1841,AUS,GEG,GEG,AUS,2150,2354,0404,0540,1122,0342,NAC,,0620,0824,0909,1451,0045,0045
Domestic,320/D,H205,1810,1810,AUS,GEG,GEG,AUS,1002,1206,0404,1255,1837,0342,NAC,,1610,1729,1814,1936,0045,0045
Domestic,320/D,319S,1260,1271,AUS,GUC,GUC,AUS,1150,1314,0224,1354,1707,0213,NAC,,,,,,,
Domestic,320/D,H205,344,347,AUS,IAD,IAD,AUS,1350,1757,0307,1847,2121,0334,NAC,,,,,,,
Domestic,320/D,H319,1731,1731,AUS,ICT,ICT,AUS,2129,2317,0148,0502,0651,0149,NAC,,,,,,,
Domestic,320/D,H319,392,393,AUS,ICT,ICT,AUS,1217,1405,0148,1505,1654,0149,NAC,,,,,,,
Domestic,320/D,319S,1932,1932,AUS,JAC,JAC,AUS,1130,1341,0311,1215,1610,0255,NAC,,,,,,,
Domestic,320/D,319S,832,833,AUS,JAC,JAC,AUS,1854,2105,0311,1336,1731,0255,NAC,,,,,,,
Domestic,320/D,321R,1022,1023,AUS,LAS,LAS,AUS,0845,0951,0306,1036,1520,0244,NAC,,,,,,,
Domestic,320/D,321R,394,395,AUS,LAX,LAX,AUS,1230,1346,0316,1431,1930,0259,NAC,,,,,,,
Domestic,320/D,321R,1738,1737,AUS,LAX,LAX,AUS,0740,0856,0316,0941,1440,0259,NAC,,,,,,,
Domestic,320/D,321R,547,547,AUS,LGA,LGA,AUS,1843,2315,0332,0725,1028,0403,NAC,,,,,,,
Domestic,320/D,321R,1616,1611,AUS,LGA,LGA,AUS,0743,1215,0332,1315,1618,0403,NAC,,,,,,,
Domestic,320/D,321R,1554,1591,AUS,LGA,LGA,AUS,1133,1605,0332,1705,2008,0403,NAC,,,,,,,
Domestic,320/D,H319,3190,3191,AUS,MAF,MAF,AUS,2033,2205,0132,0710,0836,0126,NAC,,,,,,,
Domestic,320/D,H319,1708,1709,AUS,MAF,MAF,AUS,1043,1215,0132,1305,1431,0126,NAC,,,,,,,
Domestic,320/D,319S,330,333,AUS,MCI,MCI,AUS,1110,1312,0202,1357,1602,0205,NAC,,,,,,,
Domestic,320/D,H205,334,337,AUS,MCI,MCI,AUS,1910,2112,0202,0800,1005,0205,NAC,,,,,,,
Domestic,320/D,321R,1292,1293,AUS,MCO,MCO,AUS,1340,1713,0233,1825,2020,0255,NAC,,,,,,,
Domestic,320/D,A320,1164,1175,AUS,MCO,MCO,AUS,2015,2348,0233,0615,0810,0255,NAC,,,,,,,
Domestic,320/D,A320,2022,2051,AUS,MCO,MCO,AUS,0915,1248,0233,1335,1530,0255,NAC,,,,,,,
Domestic,320/D,H319,3148,3149,AUS,MKE,MKE,AUS,1135,1416,0241,1456,1750,0254,NAC,,,,,,,
Domestic,320/D,H319,2934,2934,AUS,MRY,MRY,AUS,1010,1204,0354,1244,1808,0324,NAC,,,,,,,
Domestic,320/D,319S,1024,1025,AUS,MSY,MSY,AUS,2230,0008,0138,0605,0753,0148,NAC,,,,,,,
Mexico,320/D,H319,2232,2265,AUS,MZT,MZT,AUS,1035,1053,0218,1240,1646,0206,NAC,,,,,,,
Domestic,320/D,321K,3280,3281,AUS,ONT,ONT,AUS,1005,1126,0321,1220,1715,0255,NAC,,,,,,,
Domestic,320/D,321R,286,287,AUS,ORD,ORD,AUS,2210,0034,0224,0705,0959,0254,NAC,,,,,,,
Domestic,320/D,H205,3150,3151,AUS,ORD,ORD,AUS,1946,2210,0224,0705,0959,0254,NAC,,,,,,,
Alaska,E175,E7W,2322,2323,ANC,PDX,PDX,ANC,0835,1325,0350,1415,1733,0418,SSX,,,,,,,
Domestic,320/D,321R,1425,1424,AUS,PDX,PDX,AUS,1026,1248,0422,1340,1933,0353,NAC,,0620,0842,0927,1520,0045,0045
Domestic,320/D,319W,2364,2364,MIA,ATL,ATL,MIA,1027,1215,0148,1255,1450,0155,NAC,,,,,,,
Domestic,320/D,319W,1398,1437,LGA,BGR,BGR,LGA,1012,1145,0133,1225,1404,0139,NAC,,,,,,,
Domestic,320/D,319W,740,745,LGA,BNA,BNA,LGA,1925,2051,0226,0618,0928,0210,NAC,,2310,0045,0500,0630,0045,0045
Domestic,320/D,319W,4270,4271,PHX,BLI,BLI,PHX,0700,1010,0310,1055,1354,0259,PFT,,,,,,,
Domestic,E175,E7W,6304,6305,LAX,ABQ,ABQ,LAX,1135,1434,0159,1519,1624,0205,SSX,,,,,,,
Domestic,Q400,DH4,2388,2389,LAX,ACV,ACV,LAX,2201,2359,0158,0700,0841,0141,SSX,,,,,,,
Domestic,320/D,319W,4630,4631,LAS,SBA,SBA,LAS,1130,1301,0131,1345,1510,0125,PFT,,,,,,,
Domestic,320/D,319W,3912,3913,BOS,CHS,CHS,BOS,1145,1414,0229,1459,1717,0218,OLD,,,,,,,
Alaska,737/I,738R,364,367,LAX,ANC,ANC,LAX,1905,2337,0532,0027,0620,0453,AUR,,,,,,,
Domestic,320/D,319W,202,201,MIA,BNA,BNA,MIA,1515,1640,0225,1725,2042,0217,NAC,,,,,,,
Domestic,320/D,319W,3454,3455,LAS,STS,STS,LAS,1435,1624,0149,1709,1848,0139,PFT,,,,,,,
Domestic,320/D,319W,4868,4869,LAS,BIL,BIL,LAS,1515,1827,0212,1912,2031,0219,PFT,,,,,,,
Domestic,320/D,319W,174,173,BOS,CHS,CHS,BOS,1650,1919,0229,2004,2222,0218,OLD,,,,,,,
Domestic,320/D,319W,346,339,DEN,BLI,BLI,DEN,1705,1904,0259,1949,2319,0230,OLD,,,,,,,
Domestic,320/D,319W,3252,3253,BOS,DCA,DCA,BOS,1725,1907,0142,1952,2127,0135,OLD,,,,,,,
Domestic,E175,E7W,6308,6309,LAX,ASE,ASE,LAX,1625,1931,0206,2016,2127,0211,SSX,,,,,,,
Domestic,320/D,319W,2950,2951,DEN,BLI,BLI,DEN,2255,0054,0259,0720,1050,0230,OLD,,,,,,,
Domestic,320/D,319W,4560,4561,LAS,BLI,BLI,LAS,2355,0236,0241,0520,0753,0233,PFT,,,,,,,
Domestic,320/D,319W,4352,4353,PVU,DEN,DEN,PVU,0530,0649,0119,0734,0911,0137,PFT,,,,,,,
Domestic,320/D,319W,2420,1393,SFO,RNO,RNO,SFO,0620,0738,0118,0823,0945,0122,OLD,,,,,,,
Domestic,320/D,319W,2138,1397,SFO,SMF,SMF,SFO,0635,0748,0113,0833,0947,0114,OLD,,,,,,,
Domestic,320/D,319W,1985,1985,LGA,BOS,BOS,LGA,0900,1018,0118,1100,1221,0121,NAC,,1240,1415,1500,1643,0045,0045
Domestic,320/D,321R,2962,2963,AUS,PHX,PHX,AUS,1415,1454,0239,1539,1959,0220,NAC,,,,,,,
Domestic,320/D,319S,2374,2401,AUS,PNS,PNS,AUS,2052,2247,0155,0615,0824,0209,NAC,,,,,,,
Domestic,320/D,321R,826,827,AUS,PSP,PSP,AUS,1550,1703,0313,1748,2236,0248,NAC,,,,,,,
Mexico,320/D,321R,816,817,AUS,PVR,PVR,AUS,1017,1144,0227,1245,1602,0217,NAC,,,,,,,
Domestic,320/D,319W,2462,2493,LGA,BOS,BOS,LGA,1300,1418,0118,1500,1621,0121,NAC,,,,,,,
Domestic,320/D,A320,814,1919,AUS,RDU,RDU,AUS,2007,2359,0252,0555,0812,0317,NAC,,,,,,,
Domestic,320/D,A320,1896,815,AUS,RDU,RDU,AUS,1515,1907,0252,1952,2209,0317,NAC,,,,,,,
Domestic,320/D,A320,3838,3839,RDU,ALB,ALB,RDU,2207,2357,0150,0545,0740,0155,NAC,,,,,,,
Domestic,E175,E7W,4452,4453,RDU,ALB,ALB,RDU,2159,2355,0156,0700,0840,0140,RBD,,0705,0705,0750,1006,0045,0045
Domestic,320/D,321R,818,819,AUS,SAN,SAN,AUS,1055,1212,0317,1315,1806,0251,NAC,,,,,,,
Domestic,320/D,321R,2394,2394,AUS,SAN,SAN,AUS,1435,1552,0317,1637,2128,0251,NAC,,,,,,,
Domestic,320/D,321N,852,852,AUS,SAN,SAN,AUS,2148,2305,0317,0009,0500,0251,NAC,,,,,,,
Domestic,320/D,321K,2425,2425,AUS,SAN,SAN,AUS,1948,2105,0317,0620,1111,0251,NAC,,2355,0112,0600,1051,0045,0045
Domestic,320/D,321K,859,859,AUS,SAN,SAN,AUS,0855,1012,0317,1410,1901,0251,NAC,,2350,0107,0600,1051,0045,0045
Domestic,320/D,319S,768,775,AUS,SDF,SDF,AUS,2037,2359,0222,0735,0913,0238,NAC,,,,,,,
Domestic,320/D,H205,828,829,AUS,SDF,SDF,AUS,1043,1405,0222,1445,1623,0238,NAC,,,,,,,
Domestic,320/D,321K,810,811,AUS,SEA,SEA,AUS,2029,2257,0428,2355,0555,0400,NAC,,,,,,,
Domestic,320/D,321K,1068,1069,AUS,SEA,SEA,AUS,0955,1223,0428,1315,1915,0400,NAC,,,,,,,
Domestic,320/D,321E,760,761,AUS,SFO,SFO,AUS,0650,0850,0400,0950,1518,0328,NAC,,,,,,,
Domestic,320/D,321K,1322,1323,AUS,SFO,SFO,AUS,1348,1548,0400,0735,1303,0328,NAC,,0740,0932,1017,1158,0045,0045
Domestic,320/D,321K,2153,2152,AUS,SFO,SFO,AUS,0807,1007,0400,1107,1635,0328,NAC,,,,,,,
Domestic,320/D,321R,1443,1442,AUS,SFO,SFO,AUS,1535,1735,0400,1820,2348,0328,NAC,,,,,,,
Domestic,320/D,321R,1347,1346,AUS,SFO,SFO,AUS,2030,2230,0400,2330,0458,0328,NAC,,,,,,,
Domestic,320/D,321R,1706,1707,AUS,SFO,SFO,AUS,1730,1930,0400,0500,1028,0328,NAC,,,,,,,
Domestic,320/D,321R,1323,1322,AUS,SFO,SFO,AUS,1140,1340,0400,1425,1953,0328,NAC,,,,,,,
Mexico,320/D,321R,1674,1675,AUS,SJD,SJD,AUS,1005,1045,0240,1255,1718,0223,NAC,,,,,,,
Mexico,320/D,321R,3290,3291,AUS,SJD,SJD,AUS,1445,1525,0240,1725,2148,0223,NAC,,,,,,,
Domestic,320/D,321R,2112,1403,AUS,SLC,SLC,AUS,2135,2337,0302,0635,1020,0245,NAC,,,,,,,
Domestic,320/D,321R,462,467,AUS,SLC,SLC,AUS,1115,1317,0302,1425,1810,0245,NAC,,,,,,,
Domestic,320/D,321E,3110,3111,AUS,SNA,SNA,AUS,1427,1550,0323,1120,1616,0256,NAC,,,,,,,
Domestic,320/D,A320,306,307,AUS,SRQ,SRQ,AUS,1223,1550,0227,1625,1813,0248,NAC,,,,,,,
Domestic,320/D,A320,1984,2015,AUS,STL,STL,AUS,1118,1325,0207,1410,1627,0217,NAC,,,,,,,
Domestic,320/D,321K,822,823,AUS,TPA,TPA,AUS,0725,1051,0226,1136,1323,0247,NAC,,,,,,,
Domestic,320/D,321K,274,275,AUS,TPA,TPA,AUS,2033,2359,0226,0700,0847,0247,NAC,,,,,,,
Domestic,320/D,321K,702,707,AUS,TPA,TPA,AUS,1005,1331,0226,1425,1612,0247,NAC,,,,,,,
Domestic,320/D,321N,2484,2484,AUS,TPA,TPA,AUS,1327,1653,0226,1743,1930,0247,NAC,,,,,,,
Domestic,320/D,H319,1270,1305,AUS,TYS,TYS,AUS,2035,2357,0222,0505,0645,0240,NAC,,,,,,,
Domestic,320/D,319W,472,477,DEN,CHS,CHS,DEN,0650,1209,0319,1254,1434,0340,OLD,,,,,,,
Domestic,320/D,H319,1488,1527,AUS,TYS,TYS,AUS,1000,1322,0222,1307,1447,0240,NAC,,,,,,,
Domestic,320/D,319S,1825,1825,AUS,XNA,XNA,AUS,1205,1347,0142,1427,1613,0146,NAC,,1545,1710,1800,1915,0050,0050
Canada,320/D,321K,1458,1501,AUS,YVR,YVR,AUS,2017,2257,0440,0600,1211,0411,NAC,,,,,,,
Canada,320/D,321K,1772,1763,AUS,YVR,YVR,AUS,0905,1145,0440,1245,1856,0411,NAC,,,,,,,
Canada,320/D,A320,2938,2939,AUS,YYZ,YYZ,AUS,1843,2259,0316,0644,0923,0339,NAC,,,,,,,
Canada,320/D,A320,2446,2477,AUS,YYZ,YYZ,AUS,0939,1355,0316,1440,1719,0339,NAC,,,,,,,
Domestic,320/D,319W,1012,1019,LGA,BOS,BOS,LGA,1800,1918,0118,2000,2121,0121,NAC,,,,,,,
Domestic,320/D,319W,3060,3061,LGA,BUF,BUF,LGA,1500,1631,0131,1710,1835,0125,NAC,,,,,,,
Domestic,320/D,321T,75,76,BOS,LAX,LAX,BOS,1735,2053,0618,2138,0609,0531,NAC,,,,,,,
Domestic,320/D,321T,2333,2332,BOS,LAX,LAX,BOS,1845,2138,0553,2223,0636,0513,NAC,,,,,,,
Domestic,E175,E7W,4236,4237,RDU,ALB,ALB,RDU,1114,1310,0156,1345,1525,0140,RBD,,1545,1715,1805,1935,0050,0050
Domestic,320/D,319W,2390,2391,MIA,BWI,BWI,MIA,1616,1850,0234,1930,2209,0239,NAC,,,,,,,
Domestic,320/D,321R,2368,2397,DFW,FLL,FLL,DFW,1255,1642,0247,1727,1925,0258,NAC,,,,,,,
Domestic,320/D,319W,182,181,DEN,TUS,TUS,DEN,0710,0814,0204,0859,1145,0146,OLD,,,,,,,
Domestic,320/D,319W,1556,1585,DEN,MSN,MSN,DEN,0725,1038,0213,1123,1244,0221,OLD,,,,,,,
Domestic,320/D,319W,1168,1401,SFO,BUR,BUR,SFO,0740,0909,0129,0954,1127,0133,OLD,,,,,,,
Domestic,320/D,319W,3496,3497,PVU,PDX,PDX,PVU,0805,0917,0212,1002,1302,0200,PFT,,,,,,,
Domestic,320/D,319W,1918,1941,DEN,FAR,FAR,DEN,0815,1109,0154,1154,1247,0153,OLD,,,,,,,
Domestic,320/D,319W,636,641,MCI,FLL,FLL,MCI,0830,1233,0303,1318,1539,0321,CARGO,,,,,,,
Domestic,320/D,319W,2327,1891,DEN,MFR,MFR,DEN,0855,1043,0248,1128,1445,0217,OLD,,,,,,,
Domestic,320/D,319W,850,857,MCI,EYW,EYW,MCI,0951,1357,0306,1437,1659,0322,CARGO,,,,,,,
Domestic,320/D,319W,2063,2063,AUS,STS,STS,AUS,1001,1205,0404,1250,1823,0333,,,,,,,,
Domestic,320/D,319W,650,651,SFO,BZN,BZN,SFO,1010,1326,0216,1411,1540,0229,OLD,,,,,,,
Domestic,320/D,319W,2130,1730,DEN,RDU,RDU,DEN,1010,1528,0318,1613,1752,0339,OLD,,,,,,,
Domestic,320/D,319W,562,563,SFO,SBA,SBA,SFO,1025,1149,0124,1234,1401,0127,OLD,,,,,,,
Domestic,320/D,319W,2476,2095,SLC,JAC,JAC,SLC,1030,1150,0120,1235,1356,0121,OLD,,,,,,,
Domestic,320/D,319W,2356,1185,SFO,RDM,RDM,SFO,1045,1228,0143,1313,1457,0144,OLD,,,,,,,
Domestic,320/D,319W,3420,3421,PVU,SAN,SAN,PVU,1050,1152,0202,1237,1532,0155,PFT,,,,,,,
Domestic,320/D,319W,628,633,DEN,JAC,JAC,DEN,1100,1239,0139,1324,1446,0122,OLD,,,,,,,
Mexico,320/I,319W,1240,1241,SFO,MEX,MEX,SFO,1105,1617,0412,1712,2055,0443,OLD,,,,,,,
Domestic,320/D,319W,1840,1839,DEN,ICT,ICT,DEN,1115,1348,0133,1433,1505,0132,OLD,,,,,,,
Domestic,320/D,319W,2246,2287,MCI,IAH,IAH,MCI,1130,1333,0203,1418,1620,0202,CARGO,,,,,,,
Domestic,320/D,319W,2098,2127,DEN,DTW,DTW,DEN,1150,1634,0244,1719,1818,0259,OLD,,,,,,,
Domestic,320/D,319W,2096,2129,PDX,LAX,LAX,PDX,1230,1440,0210,1525,1750,0225,AUR,,,,,,,
Domestic,320/D,319W,2464,1081,DEN,SBA,SBA,DEN,1230,1412,0242,1457,1810,0213,OLD,,,,,,,
Domestic,320/D,319W,2064,1385,DEN,JAC,JAC,DEN,1305,1444,0139,1529,1651,0122,OLD,,,,,,,
Domestic,320/D,319W,1832,1867,DEN,TYS,TYS,DEN,1315,1803,0248,1748,1851,0303,OLD,,,,,,,
Domestic,320/D,319W,3262,3263,PDX,SLC,SLC,PDX,1320,1616,0156,1701,1809,0208,AUR,,,,,,,
Domestic,320/D,321K,1746,1769,LAX,ATL,ATL,LAX,1016,1720,0404,1605,1754,0449,NAC,,,,,,,
Domestic,320/D,319W,2161,1753,DEN,RDU,RDU,DEN,1355,1913,0318,1958,2137,0339,OLD,,,,,,,
Domestic,320/D,321K,1482,1483,LAX,AUS,AUS,LAX,0600,1059,0259,1200,1316,0316,NAC,,,,,,,
Domestic,320/D,319W,1452,2235,DEN,RDM,RDM,DEN,1525,1704,0239,1749,2059,0210,OLD,,,,,,,
Domestic,320/D,319W,2233,1050,DEN,CID,CID,DEN,1530,1829,0159,1914,2018,0204,OLD,,,,,,,
Domestic,320/D,319W,1134,1135,SFO,ABQ,ABQ,SFO,1545,1908,0223,1953,2136,0243,OLD,,,,,,,
Domestic,320/D,319W,2160,2195,BOS,BNA,BNA,BOS,1556,1744,0248,1830,2159,0229,OLD,,,,,,,
Canada,320/D,319W,1234,1235,SFO,YVR,YVR,SFO,1605,1825,0220,1915,2134,0219,AAH,,,,,,,
Domestic,320/D,319W,1384,1385,SFO,MFR,MFR,SFO,1620,1751,0131,1836,2006,0130,OLD,,,,,,,
Domestic,320/D,319W,1996,2075,DEN,SBP,SBP,DEN,1620,1804,0244,1849,2203,0214,OLD,,,,,,,
Domestic,320/D,319W,2982,2983,DEN,CVG,CVG,DEN,1635,2113,0238,2158,2250,0252,OLD,,,,,,,
Domestic,320/D,319W,1316,1317,SFO,JAC,JAC,SFO,1635,1943,0208,2028,2150,0222,OLD,,,,,,,
Domestic,320/D,319W,326,327,DEN,TUS,TUS,DEN,1640,1744,0204,1829,2115,0146,OLD,,,,,,,
Domestic,320/D,319W,1782,1783,SFO,PSP,PSP,SFO,1645,1821,0136,1906,2050,0144,OLD,,,,,,,
Domestic,320/D,319W,2398,1123,DEN,MSP,MSP,DEN,1710,2009,0159,2054,2156,0202,OLD,,,,,,,
Domestic,320/D,319W,2350,387,SFO,SBA,SBA,SFO,1720,1844,0124,1929,2056,0127,OLD,,,,,,,
Domestic,320/D,319W,2056,2057,DEN,FSD,FSD,DEN,1740,2019,0139,2104,2143,0139,OLD,,,,,,,
Domestic,320/D,319W,1544,751,SFO,SEA,SEA,SFO,1740,1946,0206,2031,2237,0206,OLD,,,,,,,
Domestic,320/D,319W,2208,1479,DEN,DFW,DFW,DEN,1750,2033,0143,2118,2213,0155,OLD,,,,,,,
Domestic,320/D,319W,656,665,PDX,LAX,LAX,PDX,1750,2000,0210,2045,2310,0225,AUR,,,,,,,
Domestic,320/D,319W,2410,2439,DEN,BZN,BZN,DEN,1805,1956,0151,2041,2215,0134,OLD,,,,,,,
Domestic,320/D,319W,2314,2345,SFO,DTW,DTW,SFO,1840,0212,0432,0840,1058,0518,OLD,,,,,,,
Domestic,320/D,319W,2072,2111,SFO,CMH,CMH,SFO,1855,0231,0436,0605,0828,0523,OLD,,,,,,,
Domestic,320/D,319W,3106,3107,MCI,DFW,DFW,MCI,1855,2028,0133,2113,2255,0142,CARGO,,,,,,,
Domestic,320/D,319W,1196,2155,DEN,MTJ,MTJ,DEN,1940,2059,0119,2144,2250,0106,OLD,,,,,,,
Domestic,320/D,319W,1570,1605,DEN,DRO,DRO,DEN,2005,2128,0123,2213,2323,0110,OLD,,,,,,,
Domestic,320/D,319W,1076,2491,DEN,SBA,SBA,DEN,2010,2152,0242,2237,0150,0213,OLD,,,,,,,
Domestic,320/D,319W,2298,1407,SFO,TUS,TUS,SFO,2025,2233,0208,2318,0141,0223,OLD,,,,,,,
Domestic,320/D,319W,2206,1409,SFO,SLC,SLC,SFO,2035,2328,0153,0013,0119,0206,OLD,,,,,,,
Domestic,320/D,321K,1254,1255,LAX,AUS,AUS,LAX,1205,1704,0259,1744,1900,0316,NAC,,0705,0705,0750,0750,0045,0045
Domestic,320/D,319W,1128,1139,DEN,DFW,DFW,DEN,2120,0003,0143,0725,0820,0155,OLD,,,,,,,
Domestic,320/D,319W,2282,1191,SFO,MFR,MFR,SFO,2120,2251,0131,2336,0106,0130,OLD,,,,,,,
Domestic,320/D,319W,1664,1693,DEN,GRR,GRR,DEN,2125,0158,0233,0520,0605,0245,OLD,,,,,,,
Domestic,320/D,319W,2259,2258,SFO,PDX,PDX,SFO,2130,2322,0152,0007,0159,0152,OLD,,,,,,,
Domestic,320/D,319W,1184,1181,SFO,RDM,RDM,SFO,2140,2323,0143,0008,0152,0144,OLD,,,,,,,
Domestic,320/D,319W,2118,1213,DEN,MTJ,MTJ,DEN,2150,2309,0119,2354,0100,0106,OLD,,,,,,,
Domestic,320/D,319W,1794,1795,SFO,SAN,SAN,SFO,2150,2329,0139,0014,0200,0146,OLD,,,,,,,
Domestic,320/D,319W,2166,1169,SFO,BUR,BUR,SFO,2200,2329,0129,0014,0147,0133,OLD,,,,,,,
Domestic,320/D,319W,2416,691,DEN,DTW,DTW,DEN,2210,0254,0244,0710,0809,0259,OLD,,,,,,,
Domestic,320/D,319W,2254,2293,DEN,TYS,TYS,DEN,2225,0313,0248,0815,0918,0303,OLD,,,,,,,
Domestic,320/D,319W,1612,1639,DEN,SEA,SEA,DEN,2310,0103,0253,0730,1054,0224,OLD,,,,,,,
Domestic,320/D,319W,1110,2427,DEN,AUS,AUS,DEN,2320,0230,0210,0550,0659,0209,OLD,,,,,,,
Domestic,320/D,321R,1558,1593,DFW,MCO,MCO,DFW,1750,2122,0232,2210,2351,0241,NAC,,,,,,,
Domestic,320/D,321K,2078,2119,DFW,SFO,SFO,DFW,1402,1558,0356,0805,1317,0312,NAC,,2340,0205,0550,0611,0045,0045
Domestic,320/D,321R,788,795,DFW,SFO,SFO,DFW,1827,2023,0356,1230,1742,0312,NAC,,,,,,,
Domestic,E190,E95,4716,4717,RDU,ALB,ALB,RDU,0835,1025,0150,1110,1305,0155,PFT,,,,,,,
Domestic,320/D,319S,434,435,JFK,EGE,EGE,JFK,0805,1039,0434,1620,2215,0355,NAC,,,,,,,
Domestic,320/D,319S,3246,3247,JFK,JAC,JAC,JFK,0959,1251,0452,0800,1411,0411,NAC,,,,,,,
Domestic,320/D,321T,39,40,JFK,LAX,LAX,JFK,1320,1620,0600,2045,0500,0515,NAC,,,,,,,
Domestic,320/D,321T,1,2,JFK,LAX,LAX,JFK,1805,2105,0600,2245,0700,0515,NAC,,,,,,,
Domestic,320/D,321T,198,197,JFK,LAX,LAX,JFK,2205,0105,0600,0600,1415,0515,NAC,,,,,,,
